ps_auc_activations,ps_auc_gc,ps_auc_occ,ps_auc_rise,ps_auc_cbrise
0.4190113,0.48454276,0.37276065,0.47368038,0.38400868
0.8953311,0.9045013,0.8774651,0.916043,0.8999529
0.44404167,0.38812932,0.71986765,0.7680065,0.7221695
0.970554,0.9727012,0.9148282,0.95185924,0.9648036
0.6897575,0.4258592,0.759832,0.73100847,0.7235744
0.69373167,0.58089393,0.5063916,0.6257987,0.6428693
0.9838068,0.9753641,0.9795293,0.9547989,0.9471494
0.83170736,0.70534563,0.85451466,0.90247935,0.8995024
0.92408234,0.8452571,0.9035855,0.93789846,0.9265711
0.77956146,0.7975333,0.74927294,0.7931459,0.8067563
0.44208366,0.473707,0.54097724,0.6838929,0.6245653
0.6528227,0.5725766,0.4632053,0.58962864,0.59909505
0.57898515,0.7851008,0.7199385,0.7004446,0.7040961
0.6904776,0.421857,0.44140482,0.58328885,0.5331307
0.4530211,0.5464075,0.7102469,0.7441724,0.76100045
0.9198132,0.9407384,0.8999971,0.89431393,0.875064
0.43490872,0.47665223,0.42075595,0.5566721,0.62917536
